"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","PM10, country level (micrograms per cubic meter)","EN.ATM.PM10.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population density (people per sq. km of land area)","EN.POP.DNST","307.972222222222","312.366666666667","314.983333333333","316.827777777778","318.666666666667","320.622222222222","322.494444444444","324.361111111111","326.244444444444","328.138888888889","330.211111111111","332.494444444444","334.661111111111","336.25","336.972222222222","336.605555555556","335.366666666667","333.922222222222","333.211111111111","333.866666666667","336.483333333333","340.8","345.577777777778","349.061111111111","350.155555555556","348.022222222222","343.527777777778","339.316666666667","339.066666666667","345.266666666667","359.016666666667","379.083333333333","402.766666666667","426.111111111111","446.255555555556","462.194444444444","474.705555555556","484.866666666667","494.466666666667","504.766666666667","516.077777777778","527.75","538.972222222222","548.566666666667","555.727777777778","560.166666666667","562.327777777778","563.022222222222","563.433333333333","564.427777777778","566.288888888889","","",
"Aruba","ABW","Population in largest city","EN.URB.LCTY","14022","14188","14357","14528","14700","14875","15051","15230","15411","15594","15779","15967","16156","16348","16542","16739","16938","17139","17342","17549","17757","17968","18181","18397","18616","18837","19060","19287","19516","19748","19982","20497","21128","21778","22449","23141","23853","24588","25345","26127","26930","27752","28589","29428","30253","31047","31796","32487","33112","","","","",
"Aruba","ABW","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","49.8307533396232","49.7262374778091","49.915489450126","50.231012509512","50.5475642263541","50.8525941212618","51.170909637913","51.4969423340526","51.8236925757827","52.1519875198026","52.4552847350406","52.7315872646106","53.026260867483","53.41894166398","53.953227893901","54.6716727279326","55.5427040664564","56.4619189661818","57.2698329666533","57.8570509512671","58.1052734742739","58.0687179603134","57.9624397060458","58.0835153434817","58.6091461511935","59.6864594675617","61.2016515746685","62.7180697603239","63.5287100568887","63.1486338886679","61.8326079000386","60.4454227002981","59.0125443093921","57.8606836633253","57.3149945442145","57.5299249215984","58.2328558883643","59.2782371070964","60.4403905763929","61.5717636849155","62.1005596305594","62.6083202251055","63.181562374634","63.9265061859913","64.9004817090393","66.0258754544616","67.3077697840568","68.6336399461132","69.8500621719388","","","","",
"Aruba","ABW","Population in urban agglomerations of more than 1 million","EN.URB.MCTY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Road sector diesel fuel consumption per capita (kg of oil equivalent)","IS.ROD.DESL.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Road sector energy consumption (% of total energy consumption)","IS.ROD.ENGY.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Road sector gasoline fuel consumption per capita (kg of oil equivalent)","IS.ROD.SGAS.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Aruba","ABW","Motor vehicles (per 1,000 people)","IS.VEH.NVEH.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
