County,County Population,Total,Marriage Rate
ApacheAZ,71518,219,0.003062166
PinalAZ,375770,1373,0.003653831
GreenleeAZ,8437,33,0.003911343
NavajoAZ,107449,579,0.005388603
YavapaiAZ,211033,1237,0.005861642
GilaAZ,53597,317,0.00591451
MaricopaAZ,3817117,23127,0.006058761
PimaAZ,980263,5972,0.006092243
MohaveAZ,200186,1304,0.006513942
La PazAZ,20489,135,0.006588901
Santa CruzAZ,47420,314,0.006621679
YumaAZ,195751,1309,0.006687067
CoconinoAZ,134421,915,0.006806972
CochiseAZ,131346,956,0.007278486
GrahamAZ,37220,286,0.007684041
