CountyName,Jan,Jan Rate,Feb,Feb Rate,Mar,Mar Rate,Apr,Apr Rate,May,May Rate,Jun,Jun Rate,Jul,Jul Rate,Aug,Aug Rate,Sep,Sep Rate,Oct,Oct Rate,Nov,Nov Rate,Dec,Dec Rate,Total,County Population,Marriage Rate
ApacheAZ,11,0.000153807,23,0.000321597,19,0.000265667,16,0.00022372,16,0.00022372,30,0.000419475,17,0.000237702,28,0.00039151,19,0.000265667,13,0.000181772,14,0.000195755,13,0.000181772,219,71518,0.003062166
PinalAZ,87,0.000231525,124,0.000329989,144,0.000383213,124,0.000329989,117,0.000311361,115,0.000306038,98,0.000260798,96,0.000255475,108,0.00028741,122,0.000324667,117,0.000311361,121,0.000322005,1373,375770,0.003653831
GreenleeAZ,1,0.000118526,0,0,2,0.000237051,4,0.000474102,1,0.000118526,6,0.000711153,3,0.000355577,3,0.000355577,5,0.000592628,5,0.000592628,1,0.000118526,2,0.000237051,33,8437,0.003911343
NavajoAZ,23,0.000214055,36,0.000335043,32,0.000297816,43,0.00040019,22,0.000204748,61,0.000567711,84,0.000781766,39,0.000362963,38,0.000353656,136,0.001265717,12,0.000111681,53,0.000493257,579,107449,0.005388603
YavapaiAZ,61,0.000289054,75,0.000355395,50,0.00023693,107,0.00050703,133,0.000630233,147,0.000696574,84,0.000398042,109,0.000516507,111,0.000525984,161,0.000762914,104,0.000492814,95,0.000450167,1237,211033,0.005861642
GilaAZ,19,0.000354497,15,0.000279866,30,0.000559733,25,0.000466444,28,0.000522417,20,0.000373155,25,0.000466444,37,0.000690337,14,0.000261209,55,0.001026177,23,0.000429128,26,0.000485102,317,53597,0.00591451
MaricopaAZ,1702,0.000445886,1356,0.000355242,2505,0.000656254,2501,0.000655207,2392,0.000626651,2111,0.000553035,1693,0.000443528,1447,0.000379082,1434,0.000375676,2290,0.000599929,2134,0.000559061,1562,0.000409209,23127,3817117,0.006058761
PimaAZ,347,0.000353987,454,0.000463141,493,0.000502926,624,0.000636564,545,0.000555973,616,0.000628403,561,0.000572295,363,0.000370309,401,0.000409074,570,0.000581477,503,0.000513128,495,0.000504967,5972,980263,0.006092243
MohaveAZ,68,0.000339684,101,0.000504531,122,0.000609433,106,0.000529508,133,0.000664382,147,0.000734317,99,0.00049454,109,0.000544494,92,0.000459573,156,0.000779275,96,0.000479554,75,0.000374652,1304,200186,0.006513942
La PazAZ,12,0.00058568,14,0.000683293,12,0.00058568,9,0.00043926,14,0.000683293,8,0.000390453,12,0.00058568,5,0.000244033,9,0.00043926,13,0.000634487,7,0.000341647,20,0.000976134,135,20489,0.006588901
Santa CruzAZ,18,0.000379587,16,0.00033741,26,0.000548292,22,0.000463939,29,0.000611556,81,0.00170814,20,0.000421763,21,0.000442851,21,0.000442851,24,0.000506116,17,0.000358499,19,0.000400675,314,47420,0.006621679
YumaAZ,78,0.000398465,140,0.000715194,118,0.000602807,130,0.000664109,110,0.000561938,127,0.000648783,89,0.000454659,96,0.000490419,87,0.000444442,111,0.000567047,110,0.000561938,113,0.000577264,1309,195751,0.006687067
CoconinoAZ,43,0.00031989,57,0.000424041,57,0.000424041,70,0.000520752,68,0.000505873,140,0.001041504,104,0.000773689,83,0.000617463,97,0.000721613,92,0.000684417,54,0.000401723,50,0.000371966,915,134421,0.006806972
CochiseAZ,56,0.000426355,88,0.000669986,95,0.00072328,84,0.000639532,77,0.000586238,94,0.000715667,74,0.000563397,92,0.00070044,74,0.000563397,91,0.000692827,71,0.000540557,60,0.000456809,956,131346,0.007278486
GrahamAZ,20,0.000537346,23,0.000617947,20,0.000537346,15,0.000403009,25,0.000671682,41,0.001101558,18,0.000483611,21,0.000564213,25,0.000671682,29,0.000779151,25,0.000671682,24,0.000644815,286,37220,0.007684041
