2001x,2001y,2001z,2001g,,,,,,,,,,2002x,2002y,2002z,2002g,,,,,,,,,,2003x,2003y,2003z,2003g,,,,,,,,,,2004x,2004y,2004z,2004g,,,,,,,,,,2005x,2005y,2005z,2005g,,,,,,,,,2006x,2006y,2006z,2006g,,,,,,,,,,2007x,2007y,2007z,2007g,,,,,,,,,,2008x,2008y,2008z,2008g,,,,,,,,,,2009x,2009y,2009z,2009g,,,,,,,,,,2010x,2010y,2010z,2010g,,,,2000x,2000y,2000z,2000g,,,,1999x,1999y,1999z,1999g,,,1998x,1998y,1998z,1998g,,1997x,1997y,1997z,1997g,,1996x,1996y,1996z,1996g,,,1995x,1995y,1995z,1995g,,1994x,1994y,1994z,1994g,,1993x,1993y,1993z,1993g,,1992x,1992y,1992z,1992g,,1991x,1991y,1991z,1991g,,1990x,1990y,1990z,1990g,,1989x,1989y,1989z,1989g,,1988x,1988y,1988z,1988g,,1987x,1987y,1987z,1987g,,1986x,1986y,1986z,1986g,,,1985x,1985y,1985z,1985g,,1984x,1984y,1984z,1984g,,1983x,1983y,1983z,1983g,,1982x,1982y,1982z,1982g,,1981x,1981y,1981z,1981g,,1980x,1980y,1980z,1980g,,,1979x,1979y,1979z,1979g,,,1978x,1978y,1978z,1978g,,1977x,1977y,1977z,1977g,,1976x,1976y,1976z,1976g,,1975x,1975y,1975z,1975g,,,1974x,1974y,1974z,1974g,,,1973x,1973y,1973z,1973g,,,1972x,1972y,1972z,1972g,,,1971x,1971y,1971z,1971g,,1970x,1970y,1970z,1970g,,1969x,1969y,1969z,1969g,,,1968x,1968y,1968z,1968g,,1967x,1967y,1967z,1967g,,,1966x,1966y,1966z,1966g,,1965x,1965y,1965z,1965g,,1964x,1964y,1964z,1964g,,,1963x,1963y,1963z,1963g,,1962x,1962y,1962z,1962g,,1961x,1961y,1961z,1961g
7208.814628,90.3764,Argentina,2.69E+11,,,,,,,,,,2711.85077,90.6278,Argentina,1.02E+11,,,,,,,,,,3413.109072,90.8792,Argentina,1.30E+11,,,,,,,,,,3997.243288,91.1306,Argentina,1.53E+11,,,,,,,,,,4740.067029,91.382,Argentina,1.83E+11,,,,,,,,,5490.435174,91.5754,Argentina,2.14E+11,,,,,,,,,,6630.045926,91.7688,Argentina,2.61E+11,,,,,,,,,,8231.226065,91.9622,Argentina,3.27E+11,,,,,,,,,,7674.342976,92.1556,Argentina,3.07E+11,,,,,,,,,,9132.957259,92.349,Argentina,3.69E+11,,,,7701.358535,90.125,Argentina,2.84E+11,,,,7764.656497,89.8308,Argentina,2.84E+11,,,8278.972516,89.5366,Argentina,2.99E+11,,8205.45296,89.2424,Argentina,2.93E+11,,7717.47986,88.9482,Argentina,2.72E+11,,,7407.645208,88.654,Argentina,2.58E+11,,7483.863863,88.32,Argentina,2.57E+11,,6971.142245,87.986,Argentina,2.37E+11,,6824.997085,87.652,Argentina,2.29E+11,,5736.020465,87.318,Argentina,1.90E+11,,4332.656387,86.984,Argentina,1.41E+11,,2382.217236,86.5948,Argentina,76636898036,,3979.637126,86.2056,Argentina,1.26E+11,,3554.877803,85.8164,Argentina,1.11E+11,,3602.179183,85.4272,Argentina,1.11E+11,,,2914.154511,85.038,Argentina,88416668900,,2646.406659,84.6078,Argentina,79092001998,,3532.450473,84.1776,Argentina,1.04E+11,,2908.250929,83.7474,Argentina,84307486837,,2755.744428,83.3172,Argentina,78676842366,,2736.897378,82.887,Argentina,76961923742,,,2499.956643,82.5034,Argentina,69252328953,,,2128.116083,82.1198,Argentina,58082870156,,2111.621363,81.7362,Argentina,56781000101,,1932.103107,81.3526,Argentina,51169499891,,2011.421437,80.969,Argentina,52438647922,,,2824.427666,80.5512,Argentina,72436777342,,,2083.811883,80.1334,Argentina,52544000117,,,1401.324892,79.7156,Argentina,34733000536,,,1366.118074,79.2978,Argentina,33293199095,,1317.186989,78.88,Argentina,31584210365,,1323.707905,78.3778,Argentina,31256284545,,,1136.125925,77.8756,Argentina,26436857248,,1057.328068,77.3734,Argentina,24256667555,,,1265.777345,76.8712,Argentina,28630474726,,1271.415566,76.369,Argentina,28344705968,,1165.785164,75.8174,Argentina,25605249382,,,844.725024,75.2658,Argentina,18272123664,,1148.169613,74.7142,Argentina,24450604878,,,74.1626,Argentina,
19504.57255,87.3684,Australia,3.79E+11,,,,,,,,,,20071.96613,87.5718,Australia,3.94E+11,,,,,,,,,,23455.84237,87.7752,Australia,4.67E+11,,,,,,,,,,30464.00376,87.9786,Australia,6.13E+11,,,,,,,,,,34011.73864,88.182,Austria,6.94E+11,,,,,,,,,36113.0024,88.3548,Australia,7.47E+11,,,,,,,,,,40996.31791,88.5276,Australia,8.54E+11,,,,,,,,,,49672.74801,88.7004,Australia,1.06E+12,,,,,,,,,,42721.88494,88.8732,Australia,9.27E+11,,,,,,,,,,51824.79842,89.046,Australia,1.14E+12,,,,21678.49368,87.165,Australia,4.15E+11,,,,20546.74271,86.9532,Australia,3.89E+11,,,21352.31487,86.7414,Australia,4.00E+11,,23536.68349,86.5296,Australia,4.36E+11,,21931.06145,86.3178,Australia,4.02E+11,,,20375.30175,86.106,Australia,3.68E+11,,18080.69753,85.9648,Australia,3.23E+11,,17658.07944,85.8236,Australia,3.12E+11,,18599.00117,85.6824,Australia,3.25E+11,,18837.18928,85.5412,Australia,3.26E+11,,18247.39456,85.4,Australia,3.11E+11,,17894.24753,85.412,Australia,3.01E+11,,14331.09182,85.424,Australia,2.37E+11,,11665.02294,85.436,Australia,1.90E+11,,11393.45356,85.448,Australia,1.83E+11,,,11457.76794,85.46,Australia,1.81E+11,,12454.55172,85.52,Australia,1.94E+11,,11533.34415,85.58,Australia,1.77E+11,,12784.76907,85.64,Australia,1.94E+11,,11849.99942,85.7,Australia,1.77E+11,,10206.75607,85.76,Australia,1.50E+11,,,9291.61988,85.7922,Australia,1.35E+11,,,8250.324192,85.8244,Australia,1.18E+11,,7773.395401,85.8566,Australia,1.10E+11,,7484.204477,85.8888,Australia,1.05E+11,,7001.974937,85.921,Australia,97278437799,,,6482.508884,85.7898,Australia,88959469418,,,4769.661087,85.6586,Australia,63818065343,,,3948.929705,85.5274,Australia,52035046729,,,3494.800171,85.3962,Australia,45212229813,,3304.589121,85.265,Australia,41330496136,,2991.241889,84.909,Australia,36681599283,,,2723.719707,84.553,Australia,32709149961,,2579.891421,84.197,Australia,30440138873,,,2343.610792,83.841,Australia,27305409340,,2281.197141,83.485,Australia,25978273043,,2131.57853,83.0938,Australia,23803337440,,,1967.321094,82.7026,Australia,21542165976,,1854.761092,82.3114,Australia,19923843656,,1878.257645,81.9202,Australia,19689774891
23833.83424,65.9468,Austria,1.92E+11,,,,,,,,,,25679.0944,66.0936,Austria,2.08E+11,,,,,,,,,,31268.6307,66.2404,Austria,2.54E+11,,,,,,,,,,35662.21182,66.3872,Austria,2.91E+11,,,,,,,,,,37067.32383,66.534,Azerbaijan,3.05E+11,,,,,,,,,39299.6143,66.718,Austria,3.25E+11,,,,,,,,,,45181.46759,66.902,Austria,3.75E+11,,,,,,,,,,49679.1107,67.086,Austria,4.14E+11,,,,,,,,,,45872.22098,67.27,Austria,3.84E+11,,,,,,,,,,44723.20394,67.454,Austria,3.75E+11,,,,23974.18307,65.8,Austria,1.92E+11,,,,26563.20954,65.8,Austria,2.12E+11,,,26743.79194,65.8,Austria,2.13E+11,,26082.45851,65.8,Austria,2.08E+11,,29485.60821,65.8,Austria,2.35E+11,,,30014.27275,65.8,Austria,2.39E+11,,25383.19881,65.793,Austria,2.01E+11,,23834.107,65.786,Austria,1.88E+11,,24624.53784,65.779,Austria,1.93E+11,,22180.65535,65.772,Austria,1.72E+11,,21458.23272,65.765,Austria,1.65E+11,,17289.46502,65.7252,Austria,1.32E+11,,17398.01096,65.6854,Austria,1.32E+11,,16224.34535,65.6456,Austria,1.23E+11,,12948.65331,65.6058,Austria,98018638125,,,9077.859908,65.566,Austria,68673874036,,8898.688186,65.531,Austria,67286843408,,9439.417257,65.496,Austria,71380023748,,9313.662513,65.461,Austria,70542983786,,9288.82217,65.426,Austria,70304401244,,10757.86946,65.391,Austria,81215814720,,,9693.141242,65.381,Austria,73177642820,,,8121.163487,65.371,Austria,61414715247,,6740.653304,65.361,Austria,51016162684,,5620.045201,65.351,Austria,42518592468,,5231.314682,65.341,Austria,39647626537,,,4583.17943,65.3244,Austria,34827754652,,,3850.748013,65.3078,Austria,29212217262,,,2894.006318,65.2912,Austria,21832965362,,,2356.515558,65.2746,Austria,17675002528,,2037.616673,65.258,Austria,15215058932,,1825.386126,65.2086,Austria,13582798556,,,1677.673528,65.1592,Austria,12440625313,,1569.667183,65.1098,Austria,11579431669,,,1486.968606,65.0604,Austria,10887682273,,1374.53214,65.011,Austria,9994070616,,1269.412583,64.9528,Austria,9169983886,,,1167.000532,64.8946,Austria,8374175258,,1087.834243,64.8364,Austria,7756110210,,1031.815004,64.7782,Austria,7311749633
128.1980583,8.4718,Burundi,876794723,,,,,,,,,,117.2814013,8.6976,Burundi,825394484.4,,,,,,,,,,108.014551,8.9234,Burundi,784654423.6,,,,,,,,,,121.8593036,9.1492,Burundi,915257323.4,,,,,,,,,,143.7835295,9.375,Belgium,1117254387,,,,,,,,,158.3050232,9.6284,Burundi,1273180655,,,,,,,,,,162.8275094,9.8818,Burundi,1356078300,,,,,,,,,,186.8717489,10.1352,Burundi,1611634286,,,,,,,,,,194.8966661,10.3886,Burundi,1739781536,,,,,,,,,,219.5297995,10.642,Burundi,2026864414,,,,130.4238485,8.246,Burundi,870486065.9,,,,123.4596667,8.039,Burundi,808077223.4,,,138.6191491,7.832,Burundi,893770806.1,,152.741207,7.625,Burundi,972896267.9,,138.0628074,7.418,Burundi,869033856.3,,,161.1015779,7.211,Burundi,1000428394,,151.3355106,7.023,Burundi,925030590.3,,156.3422534,6.835,Burundi,938632612.1,,184.106199,6.647,Burundi,1083037671,,203.0338024,6.459,Burundi,1167398478,,201.9491438,6.271,Burundi,1132101253,,204.414541,6.061,Burundi,1113924130,,204.9682729,5.851,Burundi,1082403219,,221.5647959,5.641,Burundi,1131466494,,243.4790645,5.431,Burundi,1201725497,,,240.8759845,5.221,Burundi,1149979286,,213.4434481,5.0446,Burundi,987143931.2,,241.350851,4.8682,Burundi,1082926304,,232.4235223,4.6918,Burundi,1013222222,,228.5597928,4.5154,Burundi,969046666.7,,222.8809396,4.339,Burundi,919726666.7,,,194.7068056,4.1148,Burundi,782496666.7,,,155.758233,3.8906,Burundi,610225555.6,,143.1306097,3.6664,Burundi,547535555.6,,119.7466788,3.4422,Burundi,448412753.6,,114.4921667,3.218,Burundi,420986666.7,,,95.27527395,3.0508,Burundi,345263492.1,,,84.94113497,2.8836,Burundi,304339839.6,,,69.57464447,2.7164,Burundi,246804571.4,,,72.08427138,2.5492,Burundi,252842285.7,,70.21250721,2.382,Burundi,242732571.4,,56.05911385,2.3478,Burundi,190205714.3,,,55.22538559,2.3136,Burundi,183200000,,55.11290688,2.2794,Burundi,178297142.9,,,52.45748852,2.2452,Burundi,165444571.4,,51.63793676,2.211,Burundi,158994963,,86.5716238,2.1764,Burundi,260750008.3,,,78.87416092,2.1418,Burundi,232749998.1,,73.76032779,2.1072,Burundi,213500006.4,,71.46943355,2.0726,Burundi,202999992.3
22600.91615,97.1528,Belgium,2.32E+11,,,,,,,,,,24465.3335,97.1876,Belgium,2.53E+11,,,,,,,,,,30039.09224,97.2224,Belgium,3.12E+11,,,,,,,,,,34706.6939,97.2572,Belgium,3.62E+11,,,,,,,,,,36011.4694,97.292,Benin,3.77E+11,,,,,,,,,37918.7732,97.3248,Belgium,4.00E+11,,,,,,,,,,43255.39528,97.3576,Belgium,4.60E+11,,,,,,,,,,47374.44813,97.3904,Belgium,5.07E+11,,,,,,,,,,43834.10286,97.4232,Belgium,4.73E+11,,,,,,,,,,42960.41969,97.456,Belgium,4.68E+11,,,,22697.0123,97.118,Belgium,2.33E+11,,,,24886.86566,97.0498,Belgium,2.55E+11,,,25051.33996,96.9816,Belgium,2.56E+11,,24532.02692,96.9134,Belgium,2.50E+11,,27154.33688,96.8452,Belgium,2.76E+11,,,28067.96974,96.777,Belgium,2.85E+11,,23913.88524,96.697,Belgium,2.42E+11,,22012.69312,96.617,Belgium,2.22E+11,,23088.12465,96.537,Belgium,2.32E+11,,20785.53888,96.457,Belgium,2.08E+11,,20349.62487,96.377,Belgium,2.03E+11,,16323.91663,96.2876,Belgium,1.62E+11,,16191.57935,96.1982,Belgium,1.60E+11,,14951.61675,96.1088,Belgium,1.48E+11,,12021.90541,96.0194,Belgium,1.19E+11,,,8644.302473,95.93,Belgium,85218196227,,8354.325824,95.8202,Belgium,82334988808,,8738.556775,95.7104,Belgium,86123021068,,9230.126481,95.6006,Belgium,90974923323,,10493.50036,95.4908,Belgium,1.03E+11,,12707.42027,95.381,Belgium,1.25E+11,,,11666.85557,95.2008,Belgium,1.15E+11,,,10164.51999,95.0206,Belgium,1.00E+11,,8324.373084,94.8404,Belgium,81831567541,,7154.884072,94.6602,Belgium,70248275973,,6619.807302,94.48,Belgium,64878745421,,,5664.005657,94.3526,Belgium,55351036497,,,4841.307064,94.2252,Belgium,47162657848,,,3784.992768,94.0978,Belgium,36756500047,,,3045.402163,93.9704,Belgium,29458668479,,2732.224225,93.843,Belgium,26381124884,,2458.08182,93.7018,Belgium,23710735895,,,2222.361511,93.5606,Belgium,21376353113,,2086.636005,93.4194,Belgium,19992040788,,,1957.62608,93.2782,Belgium,18651883472,,1835.594766,93.137,Belgium,17371457608,,1701.846276,93.0016,Belgium,15960106681,,,1535.023729,92.8662,Belgium,14260017387,,1438.523233,92.7308,Belgium,13264015675,,1350.197673,92.5954,Belgium,12400145222
348.3345495,38.867,Benin,2499269391,,,,,,,,,,378.6587084,39.401,Benin,2807657386,,,,,,,,,,464.046143,39.935,Benin,3557229702,,,,,,,,,,511.2929789,40.469,Benin,4050869968,,,,,,,,,,532.6109983,41.003,Burkina Faso,4358015993,,,,,,,,,557.2324469,41.654,Benin,4705087452,,,,,,,,,,632.3608696,42.305,Benin,5506275948,,,,,,,,,,739.2561276,42.956,Benin,6633561835,,,,,,,,,,712.616527,43.607,Benin,6585134688,,,,,,,,,,689.6483313,44.258,Benin,6558416322,,,,339.4730257,38.333,Benin,2359122303,,,,369.2449748,38.018,Benin,2488892429,,,375.0241065,37.703,Benin,2455092688,,356.5782605,37.388,Benin,2268301645,,382.2854406,37.073,Benin,2361116448,,,362.4709494,36.758,Benin,2169627138,,276.1591211,36.3034,Benin,1598075945,,407.4501881,35.8488,Benin,2274558079,,315.2182868,35.3942,Benin,1695315186,,383.2953623,34.9396,Benin,1986437798,,391.8934468,34.485,Benin,1959965331,,310.6327258,33.7472,Benin,1502294414,,345.809265,33.0094,Benin,1620246085,,343.6791653,32.2716,Benin,1562412226,,302.6655703,31.5338,Benin,1336102027,,,243.9115095,30.796,Benin,1045712790,,252.4356598,30.1046,Benin,1051134009,,270.7670926,29.4132,Benin,1095348199,,322.4788073,28.7218,Benin,1267778671,,337.7945068,28.0304,Benin,1291120191,,377.9566361,27.339,Benin,1405251844,,,327.82315,26.252,Benin,1186231019,,,263.6310781,25.165,Benin,928843468.5,,218.5292906,24.078,Benin,750049780.1,,208.7604401,22.991,Benin,698408261,,207.4405897,21.904,Benin,676870139.2,,,174.1707255,20.8614,Benin,554654861.5,,,162.1749431,19.8188,Benin,504376073.9,,,135.0086718,18.7762,Benin,410331856.3,,,112.7455182,17.7336,Benin,335073028,,114.7366635,16.691,Benin,333627713.3,,116.1885064,15.8566,Benin,330748244,,,117.0224628,15.0222,Benin,326323105.8,,112.0276403,14.1878,Benin,306221953.3,,,112.9735471,13.3534,Benin,302925235.6,,110.1326112,12.519,Benin,289908680.3,,104.323759,11.8702,Benin,269819005.9,,,99.8404447,11.2214,Benin,253927697.4,,94.45187434,10.5726,Benin,236434954.3,,95.566922,9.9238,Benin,235668220.8
235.4617989,18.5826,Burkina Faso,2812845486,,,,,,,,,,260.6935797,19.3212,Burkina Faso,3205592273,,,,,,,,,,332.2270756,20.0598,Burkina Faso,4205691122,,,,,,,,,,371.2179868,20.7984,Burkina Faso,4838551014,,,,,,,,,,406.9988043,21.537,Bangladesh,5462709055,,,,,,,,,422.8448175,22.363,Burkina Faso,5844669738,,,,,,,,,,474.5899781,23.189,Burkina Faso,6755823933,,,,,,,,,,569.6392934,24.015,Burkina Faso,8350710389,,,,,,,,,,553.0423743,24.841,Burkina Faso,8348156389,,,,,,,,,,592.6074699,25.667,Burkina Faso,9209288383,,,,224.9286471,17.844,Burkina Faso,2610959139,,,,267.2115822,17.3014,Burkina Faso,3014665572,,,255.738905,16.7588,Burkina Faso,2804902369,,229.5052257,16.2162,Burkina Faso,2447669100,,249.3646791,15.6736,Burkina Faso,2586550594,,,235.8322318,15.131,Burkina Faso,2379517976,,193.0702424,14.8678,Burkina Faso,1895290638,,244.1271502,14.6046,Burkina Faso,2332018011,,240.9633995,14.3414,Burkina Faso,2240264677,,346.410432,14.0782,Burkina Faso,3135045586,,351.9792491,13.815,Burkina Faso,3101300779,,304.8532727,13.5188,Burkina Faso,2615587730,,313.0618339,13.2226,Burkina Faso,2616040481,,291.1317961,12.9264,Burkina Faso,2369834946,,256.7624457,12.6302,Burkina Faso,2036303360,,,200.8942645,12.334,Burkina Faso,1552493197,,193.8431596,11.6282,Burkina Faso,1459880133,,217.9946709,10.9224,Burkina Faso,1600278605,,245.0946289,10.2166,Burkina Faso,1754450098,,254.2308043,9.5108,Burkina Faso,1775842337,,282.6857854,8.805,Burkina Faso,1928719884,,,262.0758372,8.3134,Burkina Faso,1748480618,,,225.9415576,7.8218,Burkina Faso,1475583643,,176.7832501,7.3302,Burkina Faso,1131224880,,155.6489366,6.8386,Burkina Faso,976547187.1,,152.7281454,6.347,Burkina Faso,939972701.8,,,124.3589337,6.2268,Burkina Faso,751133431.6,,,113.7804652,6.1066,Burkina Faso,674773569.6,,,99.32678734,5.9864,Burkina Faso,578595521.1,,,84.28782711,5.8662,Burkina Faso,482411179.6,,81.49993121,5.746,Burkina Faso,458404268.6,,86.52021767,5.6364,Burkina Faso,478298644.7,,,84.73303283,5.5268,Burkina Faso,460442689.7,,84.36313619,5.4172,Burkina Faso,450753923.9,,,82.54562462,5.3076,Burkina Faso,433889767.1,,81.72511987,5.198,Burkina Faso,422916789.3,,80.47270761,5.0984,Burkina Faso,410321645,,,78.37210249,4.9988,Burkina Faso,394040667.6,,76.52061097,4.8992,Burkina Faso,379567099.6,,71.5582089,4.7996,Burkina Faso,350247235
348.7568929,23.9992,Bangladesh,46987842847,,,,,,,,,,347.2186123,24.4084,Bangladesh,47571130071,,,,,,,,,,372.9805204,24.8176,Bangladesh,51913661485,,,,,,,,,,400.4724749,25.2268,Bangladesh,56560744012,,,,,,,,,,421.1233114,25.636,Bulgaria,60277560976,,,,,,,,,427.291167,26.0876,Bangladesh,61901116736,,,,,,,,,,467.1363614,26.5392,Bangladesh,68415421373,,,,,,,,,,537.6384971,26.9908,Bangladesh,79554350678,,,,,,,,,,597.7118029,27.4424,Bangladesh,89359767442,,,,,,,,,,664.0642317,27.894,Bangladesh,1.00E+11,,,,355.9734341,23.59,Bangladesh,47124925462,,,,351.582591,23.2106,Bangladesh,45694072379,,,345.8759387,22.8312,Bangladesh,44091754148,,338.6985682,22.4518,Bangladesh,42318799294,,332.2362578,22.0724,Bangladesh,40666015641,,,316.5085869,21.693,Bangladesh,37939752960,,288.4316973,21.3166,Bangladesh,33853081792,,279.0643413,20.9402,Bangladesh,32063807158,,278.3381433,20.5638,Bangladesh,31293826880,,281.598771,20.1874,Bangladesh,30957445429,,283.9767287,19.811,Bangladesh,30495081542,,264.7896616,19.348,Bangladesh,27744487300,,251.0324273,18.885,Bangladesh,25638749373,,235.9796883,18.422,Bangladesh,23474548387,,217.7529404,17.959,Bangladesh,21089700000,,,229.2263543,17.496,Bangladesh,21613230769,,213.4047769,16.967,Bangladesh,19591480000,,192.223091,16.438,Bangladesh,17184680135,,207.3372104,15.909,Bangladesh,18050898204,,232.5814315,15.38,Bangladesh,19714565483,,219.8592979,14.851,Bangladesh,18138049096,,,193.9822581,13.848,Bangladesh,15565480319,,,170.2536938,12.845,Bangladesh,13281767145,,127.1894915,11.842,Bangladesh,9651149302,,136.8200596,10.839,Bangladesh,10117113334,,269.1247701,9.836,Bangladesh,19448348068,,,176.5222273,9.3874,Bangladesh,12512460518,,,115.9370298,8.9388,Bangladesh,8086725736,,,91.49191709,8.4902,Bangladesh,6288245866,,,129.4117809,8.0416,Bangladesh,8751842837,,135.6187022,7.593,Bangladesh,8992721807,,130.8870765,7.3166,Bangladesh,8471006092,,,118.9600629,7.0402,Bangladesh,7483685483,,118.97624,6.7638,Bangladesh,7253575403,,,109.0920987,6.4874,Bangladesh,6439687606,,103.262133,6.211,Bangladesh,5906636554,,97.04055282,5.9958,Bangladesh,5386054613,,,98.67434672,5.7806,Bangladesh,5319458349,,96.96753586,5.5654,Bangladesh,5081413345,,94.54855698,5.3502,Bangladesh,4817580182
3555.660142,47.3926,Belize,871840755.4,,,,,,,,,,3704.536765,47.1222,Belize,932676403.2,,,,,,,,,,3833.424942,46.8518,Belize,990350000,,,,,,,,,,3991.284334,46.5814,Belize,1057850000,,,,,,,,,,4097.528685,46.311,Bermuda,1114200000,,,,,,,,,4363.854688,46.0414,Belize,1217450000,,,,,,,,,,4509.322283,45.7718,Belize,1290550000,,,,,,,,,,4665.740059,45.5022,Belize,1369600000,,,,,,,,,,4446.607489,45.2326,Belize,1338500000,,,,,,,,,,4529.885449,44.963,Belize,1397900000,,,,3486.164318,47.663,Belize,831750000,,,,3159.699792,47.6272,Belize,732607993.8,,,3060.52644,47.5914,Belize,688872472.7,,2994.261004,47.5556,Belize,654198121.1,,3019.523641,47.5198,Belize,641271333.4,,,2995.872536,47.484,Belize,620031771.9,,2870.106012,47.4802,Belize,580760211.3,,2821.084837,47.4764,Belize,559759653.3,,2658.592253,47.4726,Belize,518143678.5,,2323.903299,47.4688,Belize,444720726.5,,2202.322471,47.465,Belize,413049984,,1980.443785,47.6558,Belize,363150016,,1760.142198,47.8466,Belize,314900000,,1587.08761,48.0374,Belize,276550016,,1343.87515,48.2282,Belize,227850000,,,1268.221398,48.419,Belize,209150000,,1315.313517,48.61,Belize,210900000,,1212.938005,48.801,Belize,189000000,,1183.183936,48.992,Belize,179250000,,1307.211688,49.183,Belize,192900000,,1351.013867,49.374,Belize,194750000,,,1074.249158,49.5334,Belize,151800000,,,980.7731054,49.6928,Belize,136300000,,858.8155426,49.8522,Belize,117650000,,717.0507882,50.0116,Belize,96905828.77,,885.9779086,50.171,Belize,118066302.1,,,786.0750611,50.3294,Belize,103216372,,,605.9334425,50.4878,Belize,78343558.51,,,519.5716725,50.6462,Belize,66062499.02,,,474.4480222,50.8046,Belize,59207317.59,,435.7011786,50.963,Belize,53233534.3,,396.6576424,51.2666,Belize,47305390.44,,,386.953247,51.5702,Belize,44910180.79,,420.4057604,51.8738,Belize,47379308.79,,,406.1091238,52.1774,Belize,44405596.03,,377.5872027,52.481,Belize,40069931.54,,351.1653323,52.7904,Belize,36194610.8,,,336.9415831,53.0998,Belize,33750090.61,,327.1166456,53.4092,Belize,31857563,,316.417307,53.7186,Belize,29965035.39
58883.95943,100,Bermuda,3680483000,,,,,,,,,,62583.1002,100,Bermuda,3937228000,,,,,,,,,,66111.72523,100,Bermuda,4186525000,,,,,,,,,,70359.31911,100,Bermuda,4484703000,,,,,,,,,,75882.03386,100,Bolivia,4868136000,,,,,,,,,83912.6978,100,Bermuda,5414299000,,,,,,,,,,90849.58698,100,Bermuda,5895048000,,,,,,,,,,93605.74817,100,Bermuda,6109928000,,,,,,,,,,88463.31282,100,Bermuda,5806378000,,,,,,,,,,88207.32756,100,Bermuda,5744414000,,,,56284.16865,100,Bermuda,3480219000,,,,54245.45974,100,Bermuda,3324433000,,,51371.74081,100,Bermuda,3130748000,,48478.88325,100,Bermuda,2932827000,,44826.78907,100,Bermuda,2695390000,,,33989.72236,100,Bermuda,2030749952,,31476.06312,100,Bermuda,1867160064,,30900.69489,100,Bermuda,1820359936,,28669.68226,100,Bermuda,1679900032,,27700.30952,100,Bermuda,1634899968,,26841.51974,100,Bermuda,1592400000,,25517.92172,100,Bermuda,1501500032,,24253.17552,100,Bermuda,1415100032,,22411.79567,100,Bermuda,1296499968,,20450.66453,100,Bermuda,1173500032,,,18269.53552,100,Bermuda,1039500032,,17469.82557,100,Bermuda,985699968,,15902.02038,100,Bermuda,889400000,,14166.17129,100,Bermuda,785500032,,13425.97697,100,Bermuda,739100032,,11218.21782,100,Bermuda,613299968,,,9613.3829,100,Bermuda,517200000,,,8876.865672,100,Bermuda,475800000,,8370.786517,100,Bermuda,447000000,,7261.278195,100,Bermuda,386300000,,6509.433962,100,Bermuda,345000000,,,5853.932584,100,Bermuda,312600000,,,5009.29368,100,Bermuda,269500000,,,4343.173432,100,Bermuda,235400000,,,3866.300366,100,Bermuda,211100000,,3387.272727,100,Bermuda,186300000,,3053.703704,100,Bermuda,164900000,,,2830.188679,100,Bermuda,150000000,,2982.749704,100,Bermuda,155102984.6,,,2630.850466,100,Bermuda,134173373.8,,2282.216546,100,Bermuda,114339049,,2199.727007,100,Bermuda,107566650.6,,,2020.265248,100,Bermuda,96366652.31,,2020.385965,100,Bermuda,94149985.97,,1961.538169,100,Bermuda,89249986.7
