CountryName,1960,1970,1980,1990,2000,2010
Australia,5.37,43818.30118,70.85,3760.36,13.24,2076.200464
Brazil,5.04,11715.69667,67.03,3674.95,10.77,2189.608176
China,4.59,9083.203914,69.41666667,2749.46,12.44,1260.150633
Denmark,5.93,32400.06061,75.3,3404.26,13.37,1940.113894
Egypt,4.8,6614.228736,63.502,3127.11,15.57,1265.015294
India,5.39,3869.650954,73.12,3217.47,12.52,4041.732303
Japan,4.88,35618.23089,67.26,3540.73,13.66,2416.88268
SouthAfrica,5.01,11021.02077,71.69,3519.28,12.81,1717.077438
UK,4.74,35722.31098,71.544,3463.01,16.27,1147.447944
USA,5.44,51748.56149,65.72,3552.36,14.41,1990.149497
Zambia,5.31,1682.864391,69.1,3217.65,10.05,1506.080628
