"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"EN.ATM.PM10.MC.M3","PM10, country level (micrograms per cubic meter)","Particulate matter concentrations refer to fine suspended particulates less than 10 microns in diameter (PM10) that are capable of penetrating deep into the respiratory tract and causing significant health damage. Data for countries and aggregates for regions and income groups are urban-population weighted PM10 levels in residential areas of cities with more than 100,000 residents. The estimates represent the average annual exposure level of the average urban resident to outdoor particulate matter. The state of a country's technology and pollution controls is an important determinant of particulate matter concentrations.","Kiran Dev Pandey, David Wheeler, Bart Ostro, Uwe Deichmann, Kirk Hamilton, and Katherine Bolt. ""Ambient Particulate Matter Concentrations in Residential and Pollution Hotspot Areas of World Cities: New Estimates Based on the Global Model of Ambient Particulates (GMAPS),"" World Bank, Development Research Group and Environment Department (2006).",
"EN.POP.DNST","Population density (people per sq. km of land area)","Population density is midyear population divided by land area in square kilometers. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship--except for refugees not permanently settled in the country of asylum, who are generally considered part of the population of their country of origin. Land area is a country's total area, excluding area under inland water bodies, national claims to continental shelf, and exclusive economic zones. In most cases the definition of inland water bodies includes major rivers and lakes.","Food and Agriculture Organization and World Bank population estimates.",
"EN.URB.LCTY","Population in largest city","Population in largest city is the urban population living in the country's largest metropolitan area.","United Nations, World Urbanization Prospects.",
"EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)","Population in largest city is the percentage of a country's urban population living in that country's largest metropolitan area.","United Nations, World Urbanization Prospects.",
"EN.URB.MCTY","Population in urban agglomerations of more than 1 million","Population in urban agglomerations of more than one million is the country's population living in metropolitan areas that in 2000 had a population of more than one million people.","United Nations, World Urbanization Prospects.",
"EN.URB.MCTY.TL.ZS","Population in urban agglomerations of more than 1 million (% of total population)","Population in urban agglomerations of more than one million is the percentage of a country's population living in metropolitan areas that in 2000 had a population of more than one million people.","United Nations, World Urbanization Prospects.",
"EP.PMP.DESL.CD","Pump price for diesel fuel (US$ per liter)","Fuel prices refer to the pump prices of the most widely sold grade of diesel fuel. Prices have been converted from the local currency to U.S. dollars.","German Agency for International Cooperation (GIZ).",
"EP.PMP.SGAS.CD","Pump price for gasoline (US$ per liter)","Fuel prices refer to the pump prices of the most widely sold grade of gasoline. Prices have been converted from the local currency to U.S. dollars.","German Agency for International Cooperation (GIZ).",
"IS.ROD.DESL.PC","Road sector diesel fuel consumption per capita (kg of oil equivalent)","Diesel is heavy oils used as a fuel for internal combustion in diesel engines.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",
"IS.ROD.ENGY.ZS","Road sector energy consumption (% of total energy consumption)","Road sector energy consumption is the total energy used in the road sector including petroleum products, natural gas, electricity, and combustible renewable and waste. Total energy consumption is the total country energy consumption.","International Road Federation, World Road Statistics and electronic files, except where noted, and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).",
